# Summary
Sequence,Total Nucleotides,GC Content (%)
355,380,57.69
357,382,65.38
359,384,65.38
361,386,69.23
363,388,73.08
365,390,73.08
367,392,73.08
369,394,73.08
371,396,73.08
373,398,73.08
375,400,69.23
377,402,73.08
379,404,69.23
381,406,73.08
383,408,73.08
385,410,76.92
387,412,80.77
389,414,76.92
391,416,69.23
393,418,73.08
395,420,73.08
397,422,69.23
399,424,73.08
401,426,76.92
403,428,69.23
405,430,73.08
407,432,73.08
409,434,69.23
411,436,65.38
413,438,61.54
415,440,57.69
417,442,61.54
419,444,61.54
421,446,57.69
423,448,61.54
425,450,57.69
427,452,50.00
429,454,53.85
431,456,46.15
433,458,42.31
435,460,42.31
437,462,46.15
439,464,42.31
441,466,46.15
443,468,46.15
445,470,42.31
447,472,46.15
449,474,46.15
451,476,50.00
453,478,53.85
455,480,53.85
457,482,53.85
459,484,57.69
461,486,53.85
463,488,53.85
465,490,53.85
467,492,53.85
469,494,53.85
471,496,57.69
473,498,53.85
475,500,53.85
477,502,53.85
479,504,50.00
481,506,50.00
483,508,57.69
485,510,53.85
487,512,53.85
489,514,53.85
491,516,61.54
493,518,61.54
495,520,61.54
497,522,61.54
499,524,65.38
501,526,61.54
503,528,61.54
505,530,65.38
507,532,65.38
509,534,65.38
511,536,61.54
513,538,69.23
515,540,65.38
517,542,57.69
519,544,61.54
521,546,61.54
523,548,57.69
525,550,57.69
527,552,61.54
529,554,57.69
531,556,61.54
533,558,65.38
535,560,61.54
537,562,65.38
539,564,65.38
541,566,65.38
543,568,69.23
545,570,65.38
547,572,65.38
549,574,69.23
551,576,69.23
553,578,65.38
555,580,65.38
557,582,61.54
559,584,57.69
561,586,61.54
563,588,65.38
565,590,57.69
567,592,57.69
569,594,61.54
571,596,61.54
573,598,65.38
575,600,65.38
577,602,61.54
579,604,65.38
581,606,69.23
583,608,65.38
585,610,69.23
587,612,65.38
589,614,65.38
591,616,69.23
593,618,69.23
595,620,65.38
597,622,69.23
599,624,65.38
601,626,65.38
603,628,65.38
605,630,69.23
607,632,69.23
609,634,76.92
611,636,73.08
613,638,73.08
615,640,69.23
617,642,69.23
619,644,69.23
621,646,69.23
623,648,65.38
625,650,65.38
627,652,61.54
629,654,61.54
631,656,53.85
633,658,50.00
635,660,46.15
637,662,46.15
639,664,46.15
641,666,50.00
643,668,50.00
645,670,53.85
647,672,57.69
649,674,61.54
651,676,61.54
653,678,61.54
655,680,61.54
657,682,65.38
659,684,65.38
661,686,65.38
663,688,65.38
665,690,69.23
667,692,65.38
669,694,69.23
671,696,69.23
673,698,65.38
675,700,65.38
677,702,69.23
679,704,69.23
681,706,65.38
683,708,65.38
685,710,65.38
687,712,69.23
689,714,69.23
691,716,65.38
693,718,65.38
695,720,57.69
697,722,50.00
699,724,53.85
701,726,50.00
703,728,42.31
705,730,46.15
707,732,50.00
709,734,50.00
711,736,50.00
713,738,46.15
715,740,46.15
717,742,50.00
719,744,53.85
721,746,57.69
723,748,65.38
725,750,61.54
727,752,57.69
729,754,65.38
731,756,61.54
733,758,61.54
735,760,61.54
737,762,61.54
739,764,57.69
741,766,61.54
743,768,61.54
745,770,57.69
747,772,61.54
749,774,57.69
751,776,61.54
753,778,61.54
755,780,61.54
757,782,61.54
759,784,61.54
761,786,65.38
763,788,65.38
765,790,73.08
767,792,69.23
769,794,65.38
771,796,65.38
773,798,61.54
775,800,61.54
777,802,57.69
779,804,61.54
781,806,57.69
783,808,61.54
785,810,61.54
787,812,61.54
789,814,61.54
791,816,57.69
793,818,61.54
795,820,65.38
797,822,65.38
799,824,65.38
801,826,65.38
803,828,65.38
805,830,65.38
807,832,65.38
809,834,57.69
811,836,61.54
813,838,57.69
815,840,53.85
817,842,53.85
819,844,53.85
821,846,53.85
823,848,50.00
825,850,53.85
827,852,57.69
829,854,57.69
831,856,61.54
833,858,61.54
835,860,65.38
837,862,65.38
839,864,65.38
841,866,69.23
843,868,69.23
845,870,65.38
847,872,61.54
849,874,69.23
851,876,65.38
853,878,61.54
855,880,61.54
857,882,57.69
859,884,57.69
861,886,61.54
863,888,61.54
865,890,57.69
867,892,61.54
869,894,61.54
871,896,61.54
873,898,61.54
875,900,57.69
877,902,61.54
879,904,61.54
881,906,61.54
883,908,61.54
885,910,65.38
887,912,57.69
889,914,53.85
891,916,53.85
893,918,53.85
895,920,50.00
897,922,50.00
899,924,50.00
901,926,50.00
903,928,46.15
905,930,46.15
907,932,42.31
909,934,42.31
911,936,38.46
913,938,42.31
915,940,42.31
917,942,46.15
919,944,42.31
921,946,50.00
923,948,50.00
925,950,46.15
927,952,50.00
929,954,53.85
931,956,50.00
933,958,53.85
935,960,53.85
937,962,53.85
939,964,53.85
941,966,53.85
943,968,57.69
945,970,57.69
947,972,53.85
949,974,53.85
951,976,57.69
953,978,53.85
955,980,50.00
957,982,53.85
959,984,53.85
961,986,57.69
963,988,61.54
965,990,65.38
967,992,65.38
969,994,61.54
971,996,65.38
973,998,61.54
975,1000,61.54
977,1002,61.54
979,1004,65.38
981,1006,65.38
983,1008,69.23
985,1010,65.38
987,1012,61.54
989,1014,61.54
991,1016,57.69
993,1018,57.69
995,1020,61.54
997,1022,53.85
999,1024,61.54
1001,1026,61.54
1003,1028,57.69
1005,1030,57.69
1007,1032,57.69
1009,1034,50.00
1011,1036,53.85
1013,1038,53.85
1015,1040,53.85
1017,1042,57.69
1019,1044,57.69
1021,1046,57.69
1023,1048,61.54
1025,1050,61.54
1027,1052,61.54
1029,1054,65.38
1031,1056,61.54
1033,1058,57.69
1035,1060,61.54
1037,1062,61.54
1039,1064,57.69
1041,1066,53.85
1043,1068,50.00
1045,1070,46.15
1047,1072,42.31
1049,1074,38.46
1051,1076,38.46
1053,1078,38.46
1055,1080,38.46
1057,1082,42.31
1059,1084,46.15
1061,1086,46.15
1063,1088,50.00
1065,1090,53.85
1067,1092,53.85
1069,1094,50.00
1071,1096,53.85
1073,1098,57.69
1075,1100,61.54
1077,1102,57.69
1079,1104,61.54
1081,1106,57.69
1083,1108,57.69
1085,1110,61.54
1087,1112,65.38
1089,1114,61.54
1091,1116,65.38
1093,1118,61.54
1095,1120,69.23
1097,1122,69.23
1099,1124,69.23
1101,1126,69.23
1103,1128,73.08
1105,1130,69.23
1107,1132,73.08
1109,1134,73.08
1111,1136,69.23
1113,1138,65.38
1115,1140,65.38
1117,1142,61.54
1119,1144,69.23
1121,1146,65.38
1123,1148,61.54
1125,1150,57.69
1127,1152,61.54
1129,1154,53.85
1131,1156,53.85
1133,1158,57.69
1135,1160,50.00
1137,1162,53.85
1139,1164,53.85
1141,1166,53.85
1143,1168,53.85
1145,1170,46.15
1147,1172,46.15
1149,1174,53.85
1151,1176,53.85
1153,1178,50.00
1155,1180,57.69
1157,1182,61.54
1159,1184,61.54
1161,1186,65.38
1163,1188,65.38
1165,1190,61.54
1167,1192,65.38
1169,1194,65.38
1171,1196,69.23
1173,1198,73.08
1175,1200,73.08
1177,1202,69.23
1179,1204,65.38
1181,1206,65.38
1183,1208,57.69
1185,1210,53.85
1187,1212,53.85
1189,1214,53.85
1191,1216,61.54
1193,1218,57.69
1195,1220,53.85
1197,1222,53.85
1199,1224,50.00
1201,1226,42.31
1203,1228,46.15
1205,1230,46.15
1207,1232,46.15
1209,1234,50.00
1211,1236,46.15
1213,1238,46.15
1215,1240,46.15
1217,1242,42.31
1219,1244,38.46
1221,1246,42.31
1223,1248,42.31
1225,1250,42.31
1227,1252,42.31
1229,1254,38.46
1231,1256,46.15
1233,1258,38.46
1235,1260,38.46
1237,1262,38.46
1239,1264,42.31
1241,1266,42.31
1243,1268,42.31
1245,1270,42.31
1247,1272,38.46
1249,1274,38.46
1251,1276,38.46
1253,1278,38.46
1255,1280,42.31
1257,1282,38.46
1259,1284,38.46
1261,1286,42.31
1263,1288,46.15
1265,1290,42.31
1267,1292,42.31
1269,1294,38.46
1271,1296,38.46
1273,1298,38.46
1275,1300,38.46
1277,1302,34.62
1279,1304,34.62
1281,1306,30.77
1283,1308,26.92
1285,1310,30.77
1287,1312,23.08
1289,1314,23.08
1291,1316,19.23
1293,1318,11.54
1295,1320,19.23
1297,1322,19.23
1299,1324,19.23
1301,1326,15.38
1303,1328,15.38
1305,1330,15.38
1307,1332,15.38
1309,1334,15.38
1311,1336,11.54
1313,1338,19.23
1315,1340,19.23
1317,1342,23.08
1319,1344,26.92
1321,1346,23.08
1323,1348,26.92
1325,1350,30.77
1327,1352,30.77
1329,1354,30.77
1331,1356,30.77
1333,1358,30.77
1335,1360,34.62
1337,1362,42.31
1339,1364,34.62
1341,1366,38.46
1343,1368,38.46
1345,1370,38.46
1347,1372,38.46
1349,1374,38.46
1351,1376,38.46
1353,1378,42.31
1355,1380,50.00
1357,1382,53.85
1359,1384,57.69
1361,1386,61.54
1363,1388,53.85
1365,1390,61.54
1367,1392,57.69
1369,1394,61.54
1371,1396,61.54
1373,1398,61.54
1375,1400,61.54
1377,1402,65.38
1379,1404,69.23
1381,1406,61.54
1383,1408,61.54
1385,1410,57.69
1387,1412,53.85
1389,1414,57.69
1391,1416,50.00
1393,1418,50.00
1395,1420,50.00
1397,1422,53.85
1399,1424,53.85
1401,1426,57.69
1403,1428,53.85
1405,1430,46.15
1407,1432,50.00
1409,1434,46.15
1411,1436,50.00
1413,1438,50.00
1415,1440,50.00
1417,1442,50.00
1419,1444,50.00
1421,1446,46.15
1423,1448,38.46
1425,1450,34.62
1427,1452,26.92
1429,1454,23.08
1431,1456,23.08
1433,1458,23.08
1435,1460,26.92
1437,1462,23.08
1439,1464,23.08
1441,1466,23.08
1443,1468,23.08
1445,1470,19.23
1447,1472,19.23
1449,1474,23.08
1451,1476,23.08
1453,1478,30.77
1455,1480,34.62
1457,1482,38.46
1459,1484,34.62
1461,1486,34.62
1463,1488,38.46
1465,1490,38.46
1467,1492,38.46
1469,1494,42.31
1471,1496,50.00
1473,1498,46.15
1475,1500,50.00
1477,1502,53.85
1479,1504,50.00
1481,1506,50.00
1483,1508,46.15
1485,1510,46.15
1487,1512,50.00
1489,1514,50.00
1491,1516,53.85
1493,1518,57.69
1495,1520,57.69
1497,1522,50.00
1499,1524,53.85
1501,1526,50.00
1503,1528,50.00
1505,1530,46.15
1507,1532,50.00
1509,1534,53.85
1511,1536,53.85
1513,1538,50.00
1515,1540,53.85
1517,1542,53.85
1519,1544,50.00
1521,1546,50.00
1523,1548,53.85
1525,1550,53.85
1527,1552,57.69
1529,1554,57.69
1531,1556,61.54
1533,1558,57.69
1535,1560,57.69
1537,1562,61.54
1539,1564,61.54
1541,1566,61.54
1543,1568,61.54
1545,1570,61.54
1547,1572,61.54
1549,1574,61.54
1551,1576,57.69
1553,1578,57.69
1555,1580,53.85
1557,1582,53.85
1559,1584,53.85
1561,1586,50.00
1563,1588,53.85
1565,1590,53.85
1567,1592,46.15
1569,1594,38.46
1571,1596,34.62
1573,1598,30.77
1575,1600,30.77
1577,1602,30.77
1579,1604,26.92
1581,1606,30.77
1583,1608,26.92
1585,1610,23.08
1587,1612,23.08
1589,1614,15.38
1591,1616,11.54
1593,1618,11.54
1595,1620,15.38
1597,1622,15.38
1599,1624,23.08
1601,1626,26.92
1603,1628,26.92
1605,1630,23.08
1607,1632,19.23
1609,1634,23.08
1611,1636,23.08
1613,1638,23.08
1615,1640,23.08
1617,1642,23.08
1619,1644,23.08
1621,1646,23.08
1623,1648,23.08
1625,1650,15.38
1627,1652,7.69
1629,1654,7.69
1631,1656,11.54
1633,1658,11.54
1635,1660,11.54
1637,1662,15.38
1639,1664,19.23
1641,1666,26.92
1643,1668,26.92
1645,1670,34.62
1647,1672,34.62
1649,1674,42.31
1651,1676,50.00
1653,1678,57.69
1655,1680,61.54
1657,1682,61.54
1659,1684,69.23
1661,1686,73.08
1663,1688,69.23
1665,1690,65.38
1667,1692,57.69
1669,1694,61.54
1671,1696,61.54
1673,1698,65.38
1675,1700,61.54
1677,1702,57.69
1679,1704,50.00
1681,1706,50.00
1683,1708,50.00
1685,1710,46.15
1687,1712,38.46
1689,1714,42.31
1691,1716,42.31
1693,1718,50.00
1695,1720,50.00
1697,1722,42.31
1699,1724,38.46
1701,1726,38.46
1703,1728,38.46
1705,1730,46.15
1707,1732,46.15
1709,1734,50.00
1711,1736,50.00
1713,1738,53.85
1715,1740,57.69
1717,1742,61.54
1719,1744,61.54
1721,1746,61.54
1723,1748,69.23
1725,1750,69.23
1727,1752,73.08
1729,1754,73.08
1731,1756,73.08
1733,1758,73.08
1735,1760,65.38
1737,1762,69.23
1739,1764,69.23
1741,1766,61.54
1743,1768,61.54
1745,1770,57.69
1747,1772,57.69
1749,1774,53.85
1751,1776,53.85
1753,1778,50.00
1755,1780,50.00
1757,1782,46.15
1759,1784,46.15
1761,1786,50.00
1763,1788,42.31
1765,1790,38.46
1767,1792,38.46
1769,1794,38.46
1771,1796,38.46
1773,1798,38.46
1775,1800,38.46
1777,1802,42.31
1779,1804,38.46
1781,1806,34.62
1783,1808,30.77
1785,1810,26.92
1787,1812,26.92
1789,1814,26.92
1791,1816,26.92
1793,1818,26.92
1795,1820,23.08
1797,1822,19.23
1799,1824,15.38
1801,1826,11.54
1803,1828,3.85
1805,1830,3.85
1807,1832,3.85
1809,1834,3.85
1811,1836,3.85

# CpG Islands (window=100, step=2)
Window Start,Window End,Count per 100 nt
1,100,15
3,102,15
5,104,15
7,106,15
9,108,15
11,110,16
13,112,16
15,114,15
17,116,16
19,118,15
21,120,15
23,122,16
25,124,15
27,126,14
29,128,15
31,130,15
33,132,15
35,134,15
37,136,15
39,138,15
41,140,14
43,142,15
45,144,15
47,146,15
49,148,15
51,150,16
53,152,16
55,154,16
57,156,15
59,158,16
61,160,15
63,162,15
65,164,15
67,166,15
69,168,16
71,170,15
73,172,16
75,174,15
77,176,15
79,178,15
81,180,15
83,182,15
85,184,15
87,186,15
89,188,16
91,190,16
93,192,16
95,194,17
97,196,17
99,198,17
101,200,16
103,202,15
105,204,14
107,206,14
109,208,13
111,210,13
113,212,13
115,214,12
117,216,12
119,218,12
121,220,11
123,222,11
125,224,11
127,226,10
129,228,10
131,230,10
133,232,10
135,234,10
137,236,10
139,238,10
141,240,10
143,242,9
145,244,9
147,246,9
149,248,8
151,250,8
153,252,8
155,254,8
157,256,7
159,258,7
161,260,7
163,262,7
165,264,7
167,266,6
169,268,6
171,270,6
173,272,5
175,274,5
177,276,5
179,278,5
181,280,5
183,282,5
185,284,5
187,286,4
189,288,4
191,290,4
193,292,4
195,294,3
197,296,3
199,298,4
201,300,4
203,302,4
205,304,5
207,306,5
209,308,5
211,310,5
213,312,5
215,314,5
217,316,5
219,318,5
221,320,5
223,322,5
225,324,5
227,326,6
229,328,6
231,330,6
233,332,6
235,334,6
237,336,6
239,338,6
241,340,6
243,342,6
245,344,6
247,346,6
249,348,6
251,350,5
253,352,4
255,354,4
257,356,4
259,358,4
261,360,4
263,362,4
265,364,4
267,366,4
269,368,5
271,370,5
273,372,5
275,374,5
277,376,5
279,378,5
281,380,6
283,382,6
285,384,6
287,386,6
289,388,6
291,390,6
293,392,7
295,394,7
297,396,7
299,398,6
301,400,6
303,402,6
305,404,6
307,406,6
309,408,6
311,410,5
313,412,5
315,414,5
317,416,5
319,418,5
321,420,5
323,422,5
325,424,4
327,426,4
329,428,4
331,430,4
333,432,5
335,434,6
337,436,6
339,438,6
341,440,6
343,442,6
345,444,6
347,446,6
349,448,6
351,450,6
353,452,6
355,454,6
357,456,6
359,458,6
361,460,6
363,462,6
365,464,6
367,466,6
369,468,5
371,470,5
373,472,5
375,474,5
377,476,5
379,478,4
381,480,4
383,482,4
385,484,5
387,486,5
389,488,5
391,490,4
393,492,4
395,494,4
397,496,4
399,498,4
401,500,4
403,502,3
405,504,3
407,506,3
409,508,3
411,510,3
413,512,3
415,514,4
417,516,4
419,518,4
421,520,4
423,522,4
425,524,5
427,526,5
429,528,5
431,530,4
433,532,3
435,534,3
437,536,3
439,538,4
441,540,4
443,542,4
445,544,4
447,546,4
449,548,4
451,550,5
453,552,5
455,554,5
457,556,6
459,558,6
461,560,6
463,562,6
465,564,6
467,566,6
469,568,6
471,570,6
473,572,6
475,574,6
477,576,6
479,578,6
481,580,6
483,582,6
485,584,6
487,586,6
489,588,6
491,590,6
493,592,6
495,594,6
497,596,6
499,598,6
501,600,6
503,602,6
505,604,6
507,606,6
509,608,6
511,610,6
513,612,6
515,614,6
517,616,6
519,618,6
521,620,6
523,622,6
525,624,5
527,626,5
529,628,5
531,630,5
533,632,6
535,634,6
537,636,6
539,638,5
541,640,5
543,642,5
545,644,5
547,646,5
549,648,5
551,650,4
553,652,4
555,654,4
557,656,3
559,658,3
561,660,3
563,662,3
565,664,3
567,666,3
569,668,4
571,670,4
573,672,5
575,674,6
577,676,6
579,678,6
581,680,6
583,682,5
585,684,5
587,686,5
589,688,5
591,690,5
593,692,5
595,694,6
597,696,6
599,698,7
601,700,7
603,702,8
605,704,8
607,706,8
609,708,8
611,710,9
613,712,9
615,714,9
617,716,9
619,718,9
621,720,9
623,722,9
625,724,9
627,726,9
629,728,9
631,730,9
633,732,8
635,734,8
637,736,8
639,738,8
641,740,9
643,742,10
645,744,10
647,746,10
649,748,10
651,750,10
653,752,10
655,754,11
657,756,11
659,758,11
661,760,11
663,762,11
665,764,11
667,766,10
669,768,10
671,770,9
673,772,9
675,774,9
677,776,9
679,778,9
681,780,9
683,782,9
685,784,9
687,786,9
689,788,9
691,790,9
693,792,8
695,794,8
697,796,7
699,798,7
701,800,6
703,802,6
705,804,6
707,806,7
709,808,6
711,810,6
713,812,5
715,814,5
717,816,5
719,818,6
721,820,6
723,822,6
725,824,6
727,826,6
729,828,6
731,830,6
733,832,6
735,834,6
737,836,6
739,838,5
741,840,5
743,842,4
745,844,4
747,846,5
749,848,5
751,850,5
753,852,6
755,854,5
757,856,5
759,858,5
761,860,5
763,862,5
765,864,5
767,866,5
769,868,5
771,870,4
773,872,4
775,874,4
777,876,4
779,878,4
781,880,4
783,882,4
785,884,4
787,886,4
789,888,4
791,890,4
793,892,4
795,894,4
797,896,4
799,898,4
801,900,4
803,902,4
805,904,3
807,906,3
809,908,3
811,910,4
813,912,4
815,914,4
817,916,3
819,918,3
821,920,3
823,922,3
825,924,3
827,926,3
829,928,3
831,930,3
833,932,3
835,934,3
837,936,3
839,938,3
841,940,3
843,942,3
845,944,3
847,946,3
849,948,3
851,950,2
853,952,2
855,954,3
857,956,3
859,958,3
861,960,3
863,962,3
865,964,3
867,966,3
869,968,4
871,970,4
873,972,4
875,974,4
877,976,4
879,978,4
881,980,4
883,982,4
885,984,4
887,986,4
889,988,5
891,990,5
893,992,5
895,994,5
897,996,5
899,998,5
901,1000,5
903,1002,5
905,1004,5
907,1006,5
909,1008,5
911,1010,4
913,1012,4
915,1014,4
917,1016,5
919,1018,5
921,1020,5
923,1022,5
925,1024,5
927,1026,5
929,1028,5
931,1030,5
933,1032,5
935,1034,5
937,1036,5
939,1038,5
941,1040,5
943,1042,4
945,1044,4
947,1046,4
949,1048,4
951,1050,4
953,1052,3
955,1054,3
957,1056,3
959,1058,3
961,1060,3
963,1062,3
965,1064,3
967,1066,2
969,1068,2
971,1070,2
973,1072,2
975,1074,2
977,1076,2
979,1078,2
981,1080,2
983,1082,2
985,1084,2
987,1086,2
989,1088,2
991,1090,2
993,1092,2
995,1094,2
997,1096,2
999,1098,2
1001,1100,3
1003,1102,3
1005,1104,3
1007,1106,3
1009,1108,4
1011,1110,4
1013,1112,5
1015,1114,4
1017,1116,4
1019,1118,4
1021,1120,4
1023,1122,4
1025,1124,4
1027,1126,4
1029,1128,5
1031,1130,5
1033,1132,5
1035,1134,5
1037,1136,5
1039,1138,5
1041,1140,5
1043,1142,5
1045,1144,5
1047,1146,5
1049,1148,5
1051,1150,5
1053,1152,5
1055,1154,5
1057,1156,5
1059,1158,5
1061,1160,5
1063,1162,5
1065,1164,5
1067,1166,5
1069,1168,5
1071,1170,5
1073,1172,5
1075,1174,6
1077,1176,6
1079,1178,6
1081,1180,7
1083,1182,7
1085,1184,7
1087,1186,7
1089,1188,6
1091,1190,6
1093,1192,7
1095,1194,7
1097,1196,7
1099,1198,6
1101,1200,7
1103,1202,7
1105,1204,7
1107,1206,7
1109,1208,6
1111,1210,5
1113,1212,5
1115,1214,5
1117,1216,6
1119,1218,6
1121,1220,6
1123,1222,6
1125,1224,6
1127,1226,6
1129,1228,5
1131,1230,5
1133,1232,5
1135,1234,6
1137,1236,6
1139,1238,6
1141,1240,6
1143,1242,6
1145,1244,6
1147,1246,6
1149,1248,6
1151,1250,6
1153,1252,6
1155,1254,6
1157,1256,6
1159,1258,6
1161,1260,6
1163,1262,6
1165,1264,6
1167,1266,7
1169,1268,7
1171,1270,7
1173,1272,7
1175,1274,6
1177,1276,6
1179,1278,6
1181,1280,5
1183,1282,5
1185,1284,5
1187,1286,5
1189,1288,5
1191,1290,5
1193,1292,4
1195,1294,4
1197,1296,4
1199,1298,3
1201,1300,3
1203,1302,3
1205,1304,3
1207,1306,3
1209,1308,3
1211,1310,3
1213,1312,3
1215,1314,2
1217,1316,2
1219,1318,2
1221,1320,2
1223,1322,2
1225,1324,2
1227,1326,2
1229,1328,2
1231,1330,2
1233,1332,1
1235,1334,1
1237,1336,1
1239,1338,1
1241,1340,1
1243,1342,1
1245,1344,1
1247,1346,1
1249,1348,1
1251,1350,1
1253,1352,1
1255,1354,1
1257,1356,1
1259,1358,1
1261,1360,1
1263,1362,1
1265,1364,0
1267,1366,1
1269,1368,1
1271,1370,1
1273,1372,1
1275,1374,1
1277,1376,1
1279,1378,1
1281,1380,1
1283,1382,1
1285,1384,1
1287,1386,2
1289,1388,2
1291,1390,2
1293,1392,2
1295,1394,3
1297,1396,3
1299,1398,3
1301,1400,3
1303,1402,3
1305,1404,3
1307,1406,3
1309,1408,3
1311,1410,3
1313,1412,3
1315,1414,3
1317,1416,3
1319,1418,3
1321,1420,3
1323,1422,3
1325,1424,4
1327,1426,4
1329,1428,4
1331,1430,4
1333,1432,4
1335,1434,4
1337,1436,4
1339,1438,4
1341,1440,4
1343,1442,4
1345,1444,4
1347,1446,4
1349,1448,4
1351,1450,4
1353,1452,4
1355,1454,4
1357,1456,4
1359,1458,4
1361,1460,4
1363,1462,4
1365,1464,4
1367,1466,3
1369,1468,3
1371,1470,3
1373,1472,3
1375,1474,3
1377,1476,3
1379,1478,3
1381,1480,4
1383,1482,4
1385,1484,3
1387,1486,3
1389,1488,3
1391,1490,3
1393,1492,3
1395,1494,2
1397,1496,2
1399,1498,2
1401,1500,2
1403,1502,2
1405,1504,2
1407,1506,2
1409,1508,2
1411,1510,2
1413,1512,2
1415,1514,2
1417,1516,2
1419,1518,2
1421,1520,2
1423,1522,1
1425,1524,1
1427,1526,1
1429,1528,1
1431,1530,1
1433,1532,1
1435,1534,1
1437,1536,1
1439,1538,1
1441,1540,1
1443,1542,1
1445,1544,1
1447,1546,1
1449,1548,1
1451,1550,1
1453,1552,1
1455,1554,1
1457,1556,1
1459,1558,1
1461,1560,1
1463,1562,1
1465,1564,1
1467,1566,1
1469,1568,1
1471,1570,1
1473,1572,1
1475,1574,1
1477,1576,1
1479,1578,0
1481,1580,0
1483,1582,0
1485,1584,0
1487,1586,0
1489,1588,1
1491,1590,1
1493,1592,1
1495,1594,1
1497,1596,1
1499,1598,1
1501,1600,1
1503,1602,1
1505,1604,1
1507,1606,1
1509,1608,1
1511,1610,1
1513,1612,1
1515,1614,1
1517,1616,1
1519,1618,1
1521,1620,1
1523,1622,1
1525,1624,2
1527,1626,2
1529,1628,2
1531,1630,2
1533,1632,2
1535,1634,2
1537,1636,2
1539,1638,2
1541,1640,2
1543,1642,2
1545,1644,2
1547,1646,2
1549,1648,2
1551,1650,2
1553,1652,2
1555,1654,2
1557,1656,2
1559,1658,2
1561,1660,2
1563,1662,2
1565,1664,2
1567,1666,2
1569,1668,2
1571,1670,3
1573,1672,3
1575,1674,3
1577,1676,3
1579,1678,3
1581,1680,3
1583,1682,3
1585,1684,3
1587,1686,3
1589,1688,2
1591,1690,2
1593,1692,2
1595,1694,2
1597,1696,2
1599,1698,2
1601,1700,2
1603,1702,2
1605,1704,2
1607,1706,2
1609,1708,2
1611,1710,2
1613,1712,2
1615,1714,2
1617,1716,2
1619,1718,2
1621,1720,2
1623,1722,2
1625,1724,1
1627,1726,1
1629,1728,1
1631,1730,1
1633,1732,1
1635,1734,1
1637,1736,1
1639,1738,1
1641,1740,1
1643,1742,1
1645,1744,1
1647,1746,1
1649,1748,1
1651,1750,1
1653,1752,1
1655,1754,1
1657,1756,1
1659,1758,1
1661,1760,1
1663,1762,1
1665,1764,1
1667,1766,1
1669,1768,1
